ID,town
501,臺南市新營區
502,臺南市鹽水區
503,臺南市白河區
504,臺南市麻豆區
505,臺南市佳里區
506,臺南市新化區
507,臺南市善化區
508,臺南市學甲區
509,臺南市柳營區
510,臺南市後壁區
511,臺南市東山區
512,臺南市下營區
513,臺南市六甲區
514,臺南市官田區
515,臺南市大內區
516,臺南市西港區
517,臺南市七股區
518,臺南市將軍區
519,臺南市北門區
520,臺南市新市區
521,臺南市安定區
522,臺南市山上區
523,臺南市玉井區
524,臺南市楠西區
525,臺南市南化區
526,臺南市左鎮區
527,臺南市仁德區
528,臺南市歸仁區
529,臺南市關廟區
530,臺南市龍崎區
531,臺南市永康區
532,臺南市東區
533,臺南市南區
534,臺南市中西區
535,臺南市北區
537,臺南市安南區
701,高雄市鳳山區
702,高雄市岡山區
703,高雄市旗山區
705,高雄市林園區
706,高雄市大寮區
707,高雄市大樹區
708,高雄市仁武區
709,高雄市大社區
710,高雄市鳥松區
711,高雄市橋頭區
712,高雄市燕巢區
713,高雄市田寮區
714,高雄市阿蓮區
715,高雄市路竹區
716,高雄市湖內區
717,高雄市茄萣區
718,高雄市永安區
719,高雄市彌陀區
720,高雄市梓官區
721,高雄市六龜區
722,高雄市甲仙區
723,高雄市杉林區
724,高雄市內門區
729,高雄市鼓山區
730,高雄市左營區
731,高雄市楠梓區
732,高雄市三民區
734,高雄市前金區
735,高雄市苓雅區
736,高雄市前鎮區
737,高雄市旗津區
738,高雄市小港區
2201,嘉義市東區
2202,嘉義市西區
3706,彰化縣溪湖鎮
3708,彰化縣二林鎮
3720,彰化縣二水鄉
3722,彰化縣埤頭鄉
3723,彰化縣芳苑鄉
3724,彰化縣大城鄉
3725,彰化縣竹塘鄉
3726,彰化縣溪州鄉
3804,南投縣竹山鎮
3901,雲林縣斗六市
3902,雲林縣斗南鎮
3903,雲林縣虎尾鎮
3904,雲林縣西螺鎮
3905,雲林縣土庫鎮
3906,雲林縣北港鎮
3907,雲林縣古坑鄉
3908,雲林縣大埤鄉
3909,雲林縣莿桐鄉
3910,雲林縣林內鄉
3911,雲林縣二崙鄉
3912,雲林縣崙背鄉
3913,雲林縣麥寮鄉
3914,雲林縣東勢鄉
3915,雲林縣褒忠鄉
3916,雲林縣臺西鄉
3917,雲林縣元長鄉
3918,雲林縣四湖鄉
3919,雲林縣口湖鄉
3920,雲林縣水林鄉
4001,嘉義縣朴子市
4002,嘉義縣布袋鎮
4003,嘉義縣大林鎮
4004,嘉義縣民雄鄉
4005,嘉義縣溪口鄉
4006,嘉義縣新港鄉
4007,嘉義縣六腳鄉
4008,嘉義縣東石鄉
4009,嘉義縣義竹鄉
4010,嘉義縣鹿草鄉
4011,嘉義縣太保市
4012,嘉義縣水上鄉
4013,嘉義縣中埔鄉
4014,嘉義縣竹崎鄉
4015,嘉義縣梅山鄉
4016,嘉義縣番路鄉
4017,嘉義縣大埔鄉
4301,屏東縣屏東市
4302,屏東縣潮州鎮
4303,屏東縣東港鎮
4305,屏東縣萬丹鄉
4306,屏東縣長治鄉
4307,屏東縣麟洛鄉
4308,屏東縣九如鄉
4309,屏東縣里港鄉
4310,屏東縣鹽埔鄉
4311,屏東縣高樹鄉
4312,屏東縣萬巒鄉
4313,屏東縣內埔鄉
4314,屏東縣竹田鄉
4315,屏東縣新埤鄉
4316,屏東縣枋寮鄉
4317,屏東縣新園鄉
4318,屏東縣崁頂鄉
4319,屏東縣林邊鄉
4320,屏東縣南州鄉
4321,屏東縣佳冬鄉
4322,屏東縣琉球鄉
4325,屏東縣枋山鄉
4326,屏東縣三地門鄉
4328,屏東縣瑪家鄉
4330,屏東縣來義鄉
4331,屏東縣春日鄉
4332,屏東縣獅子鄉
4605,臺東縣大武鄉
4614,臺東縣達仁鄉
