ID,town
301,臺中市豐原區
302,臺中市東勢區
303,臺中市大甲區
304,臺中市清水區
305,臺中市沙鹿區
306,臺中市梧棲區
307,臺中市后里區
308,臺中市神岡區
309,臺中市潭子區
310,臺中市大雅區
311,臺中市新社區
312,臺中市石岡區
313,臺中市外埔區
314,臺中市大安區
315,臺中市烏日區
316,臺中市大肚區
317,臺中市龍井區
318,臺中市霧峰區
319,臺中市太平區
320,臺中市大里區
323,臺中市東區
324,臺中市西區
327,臺中市西屯區
328,臺中市南屯區
329,臺中市北屯區
501,臺南市新營區
502,臺南市鹽水區
503,臺南市白河區
504,臺南市麻豆區
505,臺南市佳里區
506,臺南市新化區
507,臺南市善化區
508,臺南市學甲區
509,臺南市柳營區
510,臺南市後壁區
511,臺南市東山區
512,臺南市下營區
513,臺南市六甲區
514,臺南市官田區
515,臺南市大內區
516,臺南市西港區
517,臺南市七股區
518,臺南市將軍區
519,臺南市北門區
520,臺南市新市區
521,臺南市安定區
522,臺南市山上區
523,臺南市玉井區
524,臺南市楠西區
525,臺南市南化區
526,臺南市左鎮區
527,臺南市仁德區
530,臺南市龍崎區
531,臺南市永康區
532,臺南市東區
533,臺南市南區
534,臺南市中西區
535,臺南市北區
537,臺南市安南區
703,高雄市旗山區
721,高雄市六龜區
722,高雄市甲仙區
723,高雄市杉林區
724,高雄市內門區
1201,新竹市東區
1202,新竹市北區
1203,新竹市香山區
2201,嘉義市東區
2202,嘉義市西區
3209,桃園市龍潭區
3211,桃園市新屋區
3212,桃園市觀音區
3301,新竹縣關西鎮
3302,新竹縣新埔鎮
3303,新竹縣竹東鎮
3305,新竹縣竹北市
3306,新竹縣湖口鄉
3307,新竹縣橫山鄉
3308,新竹縣新豐鄉
3309,新竹縣芎林鄉
3310,新竹縣寶山鄉
3311,新竹縣北埔鄉
3312,新竹縣峨眉鄉
3501,苗栗縣苗栗市
3503,苗栗縣通霄鎮
3504,苗栗縣竹南鎮
3505,苗栗縣頭份市
3506,苗栗縣後龍鎮
3507,苗栗縣卓蘭鎮
3509,苗栗縣公館鄉
3510,苗栗縣銅鑼鄉
3512,苗栗縣頭屋鄉
3514,苗栗縣西湖鄉
3515,苗栗縣造橋鄉
3516,苗栗縣三灣鄉
3517,苗栗縣獅潭鄉
3701,彰化縣彰化市
3702,彰化縣鹿港鎮
3703,彰化縣和美鎮
3704,彰化縣北斗鎮
3705,彰化縣員林市
3706,彰化縣溪湖鎮
3707,彰化縣田中鎮
3708,彰化縣二林鎮
3709,彰化縣線西鄉
3710,彰化縣伸港鄉
3711,彰化縣福興鄉
3712,彰化縣秀水鄉
3713,彰化縣花壇鄉
3714,彰化縣芬園鄉
3715,彰化縣大村鄉
3716,彰化縣埔鹽鄉
3717,彰化縣埔心鄉
3718,彰化縣永靖鄉
3719,彰化縣社頭鄉
3720,彰化縣二水鄉
3721,彰化縣田尾鄉
3722,彰化縣埤頭鄉
3723,彰化縣芳苑鄉
3724,彰化縣大城鄉
3725,彰化縣竹塘鄉
3726,彰化縣溪州鄉
3801,南投縣南投市
3802,南投縣埔里鎮
3803,南投縣草屯鎮
3804,南投縣竹山鎮
3805,南投縣集集鎮
3806,南投縣名間鄉
3807,南投縣鹿谷鄉
3808,南投縣中寮鄉
3809,南投縣魚池鄉
3810,南投縣國姓鄉
3811,南投縣水里鄉
3901,雲林縣斗六市
3902,雲林縣斗南鎮
3903,雲林縣虎尾鎮
3904,雲林縣西螺鎮
3905,雲林縣土庫鎮
3906,雲林縣北港鎮
3907,雲林縣古坑鄉
3908,雲林縣大埤鄉
3909,雲林縣莿桐鄉
3910,雲林縣林內鄉
3911,雲林縣二崙鄉
3912,雲林縣崙背鄉
3913,雲林縣麥寮鄉
3914,雲林縣東勢鄉
3915,雲林縣褒忠鄉
3916,雲林縣臺西鄉
3917,雲林縣元長鄉
3918,雲林縣四湖鄉
3919,雲林縣口湖鄉
3920,雲林縣水林鄉
4001,嘉義縣朴子市
4002,嘉義縣布袋鎮
4003,嘉義縣大林鎮
4004,嘉義縣民雄鄉
4005,嘉義縣溪口鄉
4006,嘉義縣新港鄉
4007,嘉義縣六腳鄉
4008,嘉義縣東石鄉
4009,嘉義縣義竹鄉
4010,嘉義縣鹿草鄉
4011,嘉義縣太保市
4012,嘉義縣水上鄉
4013,嘉義縣中埔鄉
4014,嘉義縣竹崎鄉
4015,嘉義縣梅山鄉
4016,嘉義縣番路鄉
4017,嘉義縣大埔鄉
4302,屏東縣潮州鎮
4309,屏東縣里港鄉
4311,屏東縣高樹鄉
4315,屏東縣新埤鄉
4326,屏東縣三地門鄉
4332,屏東縣獅子鄉
