region,year,week,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM25,RH,SO2
中彰投,2016,1,19.84,7.28,17.27,24.57,18.77,52.15,28.32,82.55,2.84
中彰投,2016,2,17.16,3.06,15.25,18.3,25.01,42.6,23.24,80.18,2.63
中彰投,2016,3,16.9,4.49,18.13,22.65,21.16,43.98,25.68,80.7,2.72
中彰投,2016,4,12.92,5.11,15.69,20.73,23.66,39.54,19.44,76.4,2.61
中彰投,2016,5,16.01,4.39,15.38,19.73,22.51,29.89,15.2,84.24,2.34
中彰投,2016,6,14.8,2.75,13.51,16.16,38.64,62.23,36.76,64.68,3.04
中彰投,2016,7,17.82,3.69,14.73,18.37,20.9,39.74,22.51,74.79,2.6
中彰投,2016,8,16.43,3.46,17.55,21.04,27.16,63.22,34.5,76.46,2.64
中彰投,2016,9,17.25,3.8,18.48,22.3,31.24,64.22,33.04,71.15,3.11
中彰投,2016,10,20.31,4.0,17.54,21.54,25.31,55.75,33.57,76.48,3.25
中彰投,2016,11,15.99,6.01,20.84,26.77,20.52,39.49,23.6,86.71,2.63
中彰投,2016,12,19.13,4.98,18.43,23.4,22.82,56.02,32.52,87.3,2.6
中彰投,2016,13,17.37,2.36,17.1,19.47,44.14,63.04,36.9,65.64,3.28
中彰投,2016,14,24.43,2.65,13.86,16.51,30.51,72.41,44.24,76.95,3.16
中彰投,2016,15,23.66,2.63,14.44,17.04,27.74,47.75,28.51,81.06,3.01
中彰投,2016,16,24.28,2.5,13.74,16.19,29.42,47.24,25.38,80.26,2.76
中彰投,2016,17,25.92,2.22,11.48,13.75,26.16,42.61,22.85,77.44,2.96
中彰投,2016,18,25.25,2.46,12.7,15.08,33.53,54.33,31.39,75.24,2.96
中彰投,2016,19,27.61,2.51,11.17,13.6,27.54,37.75,19.42,73.67,3.04
中彰投,2016,20,25.91,1.99,11.81,13.76,38.26,45.09,23.08,75.16,2.99
中彰投,2016,21,26.8,2.38,13.46,15.81,28.19,45.43,25.35,81.12,3.16
中彰投,2016,22,29.82,1.99,6.97,8.94,21.62,29.19,11.87,72.4,2.31
中彰投,2016,23,28.47,2.1,8.1,10.14,26.39,27.22,12.76,76.34,2.58
中彰投,2016,24,27.24,2.16,7.22,9.35,19.61,21.87,8.42,81.45,2.03
中彰投,2016,25,29.28,2.28,7.69,9.95,22.15,28.55,11.93,73.71,2.69
中彰投,2016,26,29.69,2.24,7.88,10.2,22.62,29.34,13.35,73.46,2.67
中彰投,2016,27,29.17,2.0,8.37,10.4,26.39,31.9,15.01,75.42,2.75
中彰投,2016,28,28.65,2.12,6.01,8.04,20.51,20.08,8.17,75.62,2.09
中彰投,2016,29,29.51,2.25,6.96,9.28,18.77,28.54,13.33,72.28,2.42
中彰投,2016,30,30.26,2.0,7.87,9.85,26.06,34.53,18.92,68.19,2.87
中彰投,2016,31,29.6,2.01,8.94,10.83,32.44,36.16,18.69,74.46,2.76
中彰投,2016,32,29.42,1.94,8.85,10.71,29.71,34.14,17.43,75.95,2.8
中彰投,2016,33,27.93,2.26,8.84,11.08,24.8,28.16,12.88,81.34,2.55
中彰投,2016,34,29.49,1.66,8.38,9.96,33.31,44.71,23.52,76.27,2.88
中彰投,2016,35,28.77,1.33,10.55,11.96,45.91,56.89,32.01,71.43,3.04
中彰投,2016,36,27.66,2.15,8.77,10.9,23.46,24.32,11.27,81.36,2.15
中彰投,2016,37,27.96,3.51,9.45,12.87,21.19,29.04,12.65,78.6,2.49
中彰投,2016,38,27.52,2.21,10.74,13.06,32.1,41.45,18.41,75.01,2.6
中彰投,2016,39,27.77,2.55,10.47,13.04,26.34,41.93,18.85,78.53,2.62
中彰投,2016,40,28.18,2.81,12.31,15.13,28.54,49.99,27.29,76.98,3.04
中彰投,2016,41,25.77,3.07,10.56,13.55,23.34,30.38,13.92,79.73,2.28
中彰投,2016,42,28.03,2.14,13.97,16.15,37.43,76.22,42.87,74.39,3.64
中彰投,2016,43,28.04,2.96,13.48,16.36,25.47,51.62,26.91,76.42,3.47
中彰投,2016,44,24.84,1.92,12.26,14.07,33.75,49.13,22.58,70.99,2.6
中彰投,2016,45,23.66,2.44,15.47,17.92,31.89,51.49,26.86,72.55,3.1
中彰投,2016,46,24.31,3.38,18.41,21.73,31.49,73.94,40.19,77.29,3.4
中彰投,2016,47,23.52,4.55,16.58,21.03,22.08,46.01,24.21,79.71,2.97
中彰投,2016,48,21.38,3.12,15.66,18.78,23.54,43.45,19.35,78.42,2.46
中彰投,2016,49,21.8,2.82,16.35,19.28,26.25,55.29,27.17,75.69,2.99
中彰投,2016,50,20.68,4.28,16.49,20.76,26.99,54.41,26.39,72.28,2.76
中彰投,2016,51,20.12,4.01,18.61,22.61,26.26,63.02,34.47,72.71,3.12
中彰投,2016,52,18.87,3.99,16.54,20.51,25.67,58.2,28.04,74.72,2.61
中彰投,2017,1,20.73,4.68,16.54,21.28,24.52,73.19,40.13,81.19,2.79
中彰投,2017,2,19.1,3.64,16.9,20.51,25.13,52.24,28.35,76.21,2.78
中彰投,2017,3,17.37,3.53,14.34,17.75,25.33,43.2,20.93,75.83,2.47
中彰投,2017,4,16.91,2.64,14.87,17.5,30.47,50.89,26.1,67.88,2.63
中彰投,2017,5,18.83,2.15,11.69,13.74,29.35,45.91,20.97,73.23,2.36
中彰投,2017,6,16.3,2.26,13.9,16.12,31.84,63.66,33.26,67.6,2.69
中彰投,2017,7,17.66,3.8,17.59,21.39,32.99,62.34,32.41,66.09,3.07
中彰投,2017,8,18.69,3.83,16.22,20.04,26.72,54.42,29.13,78.75,2.46
中彰投,2017,9,17.06,2.38,16.52,18.95,34.45,59.1,31.13,69.73,2.9
中彰投,2017,10,18.52,3.34,17.78,21.15,32.1,57.9,34.97,77.82,2.81
中彰投,2017,11,19.6,2.53,16.19,18.72,32.37,56.92,32.42,77.14,2.73
中彰投,2017,12,21.7,2.31,15.4,17.74,36.0,54.5,29.22,74.55,2.75
中彰投,2017,13,19.78,2.62,15.86,18.42,40.9,67.88,35.01,68.87,2.95
中彰投,2017,14,22.12,1.91,14.07,15.96,43.55,61.98,34.81,62.42,3.02
中彰投,2017,15,23.86,3.31,15.3,18.6,26.22,45.36,24.19,78.04,2.71
中彰投,2017,16,25.73,2.2,10.36,12.45,27.89,41.53,22.61,76.5,2.57
中彰投,2017,17,22.35,2.09,15.24,17.3,39.44,53.13,26.96,74.95,3.04
中彰投,2017,18,26.0,2.59,14.46,16.99,34.33,53.12,29.17,69.91,3.07
中彰投,2017,19,27.69,2.18,11.92,14.03,30.81,51.64,23.46,72.6,3.15
中彰投,2017,20,25.43,2.0,12.71,14.55,35.54,34.34,17.11,77.96,2.66
中彰投,2017,21,26.77,2.01,11.95,13.94,31.69,37.44,18.48,75.74,2.82
中彰投,2017,22,26.97,1.89,9.18,11.08,28.16,29.68,14.51,82.17,2.47
中彰投,2017,23,28.46,2.47,9.27,11.68,23.51,30.27,14.49,78.02,2.66
中彰投,2017,24,27.2,2.3,7.76,10.01,17.31,22.25,7.71,82.19,2.04
中彰投,2017,25,28.25,2.75,7.5,10.29,15.35,23.49,9.66,76.45,2.06
中彰投,2017,26,28.91,1.98,7.78,9.65,22.52,30.12,13.6,72.61,2.57
中彰投,2017,27,27.31,2.2,7.99,10.07,21.84,21.88,8.8,78.03,2.25
中彰投,2017,28,28.21,1.81,8.09,9.91,23.93,27.89,12.16,74.7,2.64
中彰投,2017,29,28.6,1.81,9.07,10.69,29.97,35.23,17.13,74.2,2.75
中彰投,2017,30,28.63,1.4,8.84,10.27,30.17,38.47,21.82,75.78,3.22
中彰投,2017,31,27.43,1.78,6.87,8.55,23.04,25.9,11.42,80.62,2.23
中彰投,2017,32,29.31,1.72,6.07,7.61,18.27,29.08,12.93,74.57,2.12
中彰投,2017,33,29.33,2.28,8.22,10.49,20.89,27.18,14.08,71.51,2.77
中彰投,2017,34,29.03,2.14,9.87,12.0,27.5,37.12,19.23,77.74,2.87
中彰投,2017,35,28.92,1.92,9.98,11.74,28.84,42.37,22.55,77.07,2.89
中彰投,2017,36,28.99,1.65,8.43,10.14,25.72,33.32,16.94,78.6,2.66
中彰投,2017,37,29.19,2.33,10.55,12.8,30.75,40.87,20.17,71.23,2.96
中彰投,2017,38,29.43,1.25,13.13,14.44,44.52,58.73,33.97,69.72,3.96
中彰投,2017,39,29.73,1.98,10.44,12.38,28.53,40.37,21.67,73.96,3.07
中彰投,2017,40,29.37,1.8,11.89,13.57,34.34,53.72,27.59,74.89,2.95
中彰投,2017,41,28.7,2.14,12.07,14.2,30.04,51.87,24.74,75.06,3.19
中彰投,2017,42,25.88,2.14,9.92,12.07,28.48,30.64,12.32,80.99,2.08
中彰投,2017,43,23.09,1.4,12.09,13.51,46.63,50.7,24.86,67.49,2.22
中彰投,2017,44,22.96,1.97,12.19,14.12,36.7,47.23,19.41,72.04,2.25
中彰投,2017,45,24.49,2.16,14.22,16.38,29.78,55.59,25.66,80.93,2.5
中彰投,2017,46,24.08,3.31,15.06,18.33,23.47,48.68,23.12,82.92,2.77
中彰投,2017,47,20.85,2.36,13.88,16.17,24.28,35.76,15.88,78.49,2.29
中彰投,2017,48,22.71,2.69,13.73,16.41,27.71,48.92,23.29,81.0,2.44
中彰投,2017,49,17.89,3.08,14.24,17.3,26.14,43.22,22.07,78.66,2.26
中彰投,2017,50,18.7,4.38,16.08,20.5,23.51,46.39,22.65,80.54,2.52
中彰投,2017,51,16.75,2.9,14.4,17.31,29.01,47.6,24.13,73.06,2.54
中彰投,2017,52,19.2,3.09,17.12,20.17,29.14,71.82,39.92,74.98,3.06
中彰投,2018,1,18.58,4.78,17.35,22.14,20.12,52.44,27.6,84.44,2.6
中彰投,2018,2,13.57,3.43,13.67,17.13,26.22,33.62,16.71,71.76,2.28
中彰投,2018,3,19.72,4.25,18.32,22.52,23.46,57.58,31.05,81.34,2.71
中彰投,2018,4,18.38,2.73,15.07,17.74,25.96,41.85,18.95,79.24,2.34
中彰投,2018,5,12.95,2.58,13.4,15.96,24.58,28.12,17.33,84.24,2.15
中彰投,2018,6,13.37,5.4,16.61,22.05,23.46,42.36,23.61,82.33,2.31
中彰投,2018,7,18.68,2.34,14.69,17.02,32.84,71.99,32.32,71.5,2.67
中彰投,2018,8,19.01,2.73,15.76,18.5,25.79,50.78,28.52,79.39,2.46
中彰投,2018,9,21.42,4.28,16.84,21.12,25.9,69.53,37.15,79.3,2.74
中彰投,2018,10,18.45,2.14,12.73,14.92,30.19,41.77,19.67,74.37,2.27
中彰投,2018,11,20.94,2.7,17.38,20.12,33.94,61.47,33.16,74.85,2.95
中彰投,2018,12,19.99,2.05,13.99,16.05,39.27,54.74,26.12,66.89,2.33
中彰投,2018,13,22.77,1.78,13.43,15.19,39.64,68.09,36.03,73.7,2.62
中彰投,2018,14,22.39,1.89,11.29,13.04,34.38,67.04,29.23,68.14,2.57
