region,year,week,value
雲嘉南,2016,37,9.94
高屏,2016,37,9.56
中彰投,2016,38,13.06
北北基桃竹苗,2016,38,14.81
宜花東,2016,38,8.68
雲嘉南,2016,38,12.02
高屏,2016,38,11.5
中彰投,2016,39,13.04
北北基桃竹苗,2016,39,13.58
宜花東,2016,39,7.66
雲嘉南,2016,39,10.53
高屏,2016,39,10.46
中彰投,2016,40,15.13
北北基桃竹苗,2016,40,17.19
宜花東,2016,40,9.17
雲嘉南,2016,40,13.13
高屏,2016,40,13.55
中彰投,2016,41,13.55
北北基桃竹苗,2016,41,17.07
宜花東,2016,41,9.84
雲嘉南,2016,41,13.22
高屏,2016,41,13.47
中彰投,2016,42,16.15
北北基桃竹苗,2016,42,14.57
宜花東,2016,42,9.3
雲嘉南,2016,42,14.13
高屏,2016,42,14.8
中彰投,2016,43,16.36
北北基桃竹苗,2016,43,21.23
宜花東,2016,43,9.39
雲嘉南,2016,43,12.36
高屏,2016,43,12.09
中彰投,2016,44,14.07
北北基桃竹苗,2016,44,14.64
宜花東,2016,44,8.69
雲嘉南,2016,44,14.98
高屏,2016,44,16.07
中彰投,2016,45,17.92
北北基桃竹苗,2016,45,20.88
宜花東,2016,45,10.54
雲嘉南,2016,45,16.31
高屏,2016,45,15.71
中彰投,2016,46,21.73
北北基桃竹苗,2016,46,23.33
宜花東,2016,46,11.2
雲嘉南,2016,46,18.73
高屏,2016,46,17.33
中彰投,2016,47,21.03
北北基桃竹苗,2016,47,24.24
宜花東,2016,47,11.95
雲嘉南,2016,47,19.75
高屏,2016,47,20.38
中彰投,2016,48,18.78
北北基桃竹苗,2016,48,17.59
宜花東,2016,48,12.19
雲嘉南,2016,48,18.44
高屏,2016,48,18.79
中彰投,2016,49,19.28
北北基桃竹苗,2016,49,17.28
宜花東,2016,49,12.03
雲嘉南,2016,49,19.28
高屏,2016,49,21.42
中彰投,2016,50,20.76
北北基桃竹苗,2016,50,19.2
宜花東,2016,50,11.93
雲嘉南,2016,50,20.58
高屏,2016,50,20.05
中彰投,2016,51,22.61
北北基桃竹苗,2016,51,25.39
宜花東,2016,51,13.16
雲嘉南,2016,51,21.31
高屏,2016,51,21.71
中彰投,2016,52,20.51
北北基桃竹苗,2016,52,18.32
宜花東,2016,52,11.94
雲嘉南,2016,52,20.68
高屏,2016,52,21.31
中彰投,2017,1,21.28
北北基桃竹苗,2017,1,23.98
宜花東,2017,1,11.91
雲嘉南,2017,1,18.61
高屏,2017,1,18.9
中彰投,2017,2,20.51
北北基桃竹苗,2017,2,18.53
宜花東,2017,2,12.28
雲嘉南,2017,2,20.13
高屏,2017,2,21.2
中彰投,2017,3,17.75
北北基桃竹苗,2017,3,19.16
宜花東,2017,3,12.18
雲嘉南,2017,3,18.09
高屏,2017,3,20.37
中彰投,2017,4,17.5
北北基桃竹苗,2017,4,15.86
宜花東,2017,4,11.38
雲嘉南,2017,4,17.5
高屏,2017,4,19.95
中彰投,2017,5,13.74
北北基桃竹苗,2017,5,16.88
宜花東,2017,5,9.47
雲嘉南,2017,5,13.57
高屏,2017,5,16.79
中彰投,2017,6,16.12
北北基桃竹苗,2017,6,16.14
宜花東,2017,6,10.71
雲嘉南,2017,6,16.73
高屏,2017,6,19.39
中彰投,2017,7,21.39
北北基桃竹苗,2017,7,22.67
宜花東,2017,7,11.77
雲嘉南,2017,7,18.4
高屏,2017,7,18.98
中彰投,2017,8,20.04
北北基桃竹苗,2017,8,23.56
宜花東,2017,8,12.67
雲嘉南,2017,8,17.89
高屏,2017,8,18.8
中彰投,2017,9,18.95
北北基桃竹苗,2017,9,24.32
宜花東,2017,9,11.73
雲嘉南,2017,9,17.0
高屏,2017,9,17.25
中彰投,2017,10,21.15
北北基桃竹苗,2017,10,25.17
宜花東,2017,10,13.46
雲嘉南,2017,10,18.81
高屏,2017,10,19.72
中彰投,2017,11,18.72
北北基桃竹苗,2017,11,21.04
宜花東,2017,11,11.24
雲嘉南,2017,11,17.19
高屏,2017,11,16.5
中彰投,2017,12,17.74
北北基桃竹苗,2017,12,21.25
宜花東,2017,12,10.65
雲嘉南,2017,12,15.49
高屏,2017,12,14.21
中彰投,2017,13,18.42
北北基桃竹苗,2017,13,23.88
宜花東,2017,13,11.05
雲嘉南,2017,13,16.45
高屏,2017,13,14.89
中彰投,2017,14,15.96
北北基桃竹苗,2017,14,22.97
宜花東,2017,14,9.93
雲嘉南,2017,14,13.85
高屏,2017,14,12.44
中彰投,2017,15,18.6
北北基桃竹苗,2017,15,23.97
宜花東,2017,15,11.11
雲嘉南,2017,15,15.54
高屏,2017,15,14.96
中彰投,2017,16,12.45
北北基桃竹苗,2017,16,21.19
宜花東,2017,16,9.46
雲嘉南,2017,16,10.73
高屏,2017,16,11.04
中彰投,2017,17,17.3
北北基桃竹苗,2017,17,23.56
宜花東,2017,17,10.63
雲嘉南,2017,17,15.16
高屏,2017,17,14.09
中彰投,2017,18,16.99
北北基桃竹苗,2017,18,21.64
宜花東,2017,18,9.08
雲嘉南,2017,18,13.2
高屏,2017,18,11.74
中彰投,2017,19,14.03
北北基桃竹苗,2017,19,19.84
宜花東,2017,19,8.92
雲嘉南,2017,19,11.19
高屏,2017,19,10.53
中彰投,2017,20,14.55
北北基桃竹苗,2017,20,16.97
宜花東,2017,20,9.33
雲嘉南,2017,20,12.48
高屏,2017,20,12.16
中彰投,2017,21,13.94
北北基桃竹苗,2017,21,17.34
宜花東,2017,21,8.89
雲嘉南,2017,21,11.74
高屏,2017,21,10.41
中彰投,2017,22,11.08
北北基桃竹苗,2017,22,16.39
宜花東,2017,22,9.36
雲嘉南,2017,22,8.89
高屏,2017,22,9.03
中彰投,2017,23,11.68
北北基桃竹苗,2017,23,18.66
宜花東,2017,23,8.74
雲嘉南,2017,23,10.03
高屏,2017,23,9.34
中彰投,2017,24,10.01
北北基桃竹苗,2017,24,19.42
宜花東,2017,24,9.34
雲嘉南,2017,24,8.72
高屏,2017,24,8.59
中彰投,2017,25,10.29
北北基桃竹苗,2017,25,20.27
宜花東,2017,25,10.07
雲嘉南,2017,25,9.33
高屏,2017,25,9.06
中彰投,2017,26,9.65
北北基桃竹苗,2017,26,16.53
宜花東,2017,26,8.34
雲嘉南,2017,26,8.39
高屏,2017,26,9.07
中彰投,2017,27,10.07
北北基桃竹苗,2017,27,17.89
宜花東,2017,27,8.5
雲嘉南,2017,27,9.49
高屏,2017,27,8.8
